You are now connected to database "topmodelsql" as user "chonlee".
DROP TABLE
SELECT 365
    date    | month | monthname | day | weekdayname | quartal | calendarweek 
------------+-------+-----------+-----+-------------+---------+--------------
 2022-01-01 |     1 | January   |   1 | Saturday    | Q1      |           52
 2022-01-02 |     1 | January   |   2 | Sunday      | Q1      |           52
 2022-01-03 |     1 | January   |   3 | Monday      | Q1      |            1
 2022-01-04 |     1 | January   |   4 | Tuesday     | Q1      |            1
 2022-01-05 |     1 | January   |   5 | Wednesday   | Q1      |            1
 2022-01-06 |     1 | January   |   6 | Thursday    | Q1      |            1
 2022-01-07 |     1 | January   |   7 | Friday      | Q1      |            1
 2022-01-08 |     1 | January   |   8 | Saturday    | Q1      |            1
 2022-01-09 |     1 | January   |   9 | Sunday      | Q1      |            1
 2022-01-10 |     1 | January   |  10 | Monday      | Q1      |            2
 2022-01-11 |     1 | January   |  11 | Tuesday     | Q1      |            2
 2022-01-12 |     1 | January   |  12 | Wednesday   | Q1      |            2
 2022-01-13 |     1 | January   |  13 | Thursday    | Q1      |            2
 2022-01-14 |     1 | January   |  14 | Friday      | Q1      |            2
 2022-01-15 |     1 | January   |  15 | Saturday    | Q1      |            2
 2022-01-16 |     1 | January   |  16 | Sunday      | Q1      |            2
 2022-01-17 |     1 | January   |  17 | Monday      | Q1      |            3
 2022-01-18 |     1 | January   |  18 | Tuesday     | Q1      |            3
 2022-01-19 |     1 | January   |  19 | Wednesday   | Q1      |            3
 2022-01-20 |     1 | January   |  20 | Thursday    | Q1      |            3
 2022-01-21 |     1 | January   |  21 | Friday      | Q1      |            3
 2022-01-22 |     1 | January   |  22 | Saturday    | Q1      |            3
 2022-01-23 |     1 | January   |  23 | Sunday      | Q1      |            3
 2022-01-24 |     1 | January   |  24 | Monday      | Q1      |            4
 2022-01-25 |     1 | January   |  25 | Tuesday     | Q1      |            4
 2022-01-26 |     1 | January   |  26 | Wednesday   | Q1      |            4
 2022-01-27 |     1 | January   |  27 | Thursday    | Q1      |            4
 2022-01-28 |     1 | January   |  28 | Friday      | Q1      |            4
 2022-01-29 |     1 | January   |  29 | Saturday    | Q1      |            4
 2022-01-30 |     1 | January   |  30 | Sunday      | Q1      |            4
 2022-01-31 |     1 | January   |  31 | Monday      | Q1      |            5
 2022-02-01 |     2 | February  |   1 | Tuesday     | Q1      |            5
 2022-02-02 |     2 | February  |   2 | Wednesday   | Q1      |            5
 2022-02-03 |     2 | February  |   3 | Thursday    | Q1      |            5
 2022-02-04 |     2 | February  |   4 | Friday      | Q1      |            5
 2022-02-05 |     2 | February  |   5 | Saturday    | Q1      |            5
 2022-02-06 |     2 | February  |   6 | Sunday      | Q1      |            5
 2022-02-07 |     2 | February  |   7 | Monday      | Q1      |            6
 2022-02-08 |     2 | February  |   8 | Tuesday     | Q1      |            6
 2022-02-09 |     2 | February  |   9 | Wednesday   | Q1      |            6
 2022-02-10 |     2 | February  |  10 | Thursday    | Q1      |            6
 2022-02-11 |     2 | February  |  11 | Friday      | Q1      |            6
 2022-02-12 |     2 | February  |  12 | Saturday    | Q1      |            6
 2022-02-13 |     2 | February  |  13 | Sunday      | Q1      |            6
 2022-02-14 |     2 | February  |  14 | Monday      | Q1      |            7
 2022-02-15 |     2 | February  |  15 | Tuesday     | Q1      |            7
 2022-02-16 |     2 | February  |  16 | Wednesday   | Q1      |            7
 2022-02-17 |     2 | February  |  17 | Thursday    | Q1      |            7
 2022-02-18 |     2 | February  |  18 | Friday      | Q1      |            7
 2022-02-19 |     2 | February  |  19 | Saturday    | Q1      |            7
 2022-02-20 |     2 | February  |  20 | Sunday      | Q1      |            7
 2022-02-21 |     2 | February  |  21 | Monday      | Q1      |            8
 2022-02-22 |     2 | February  |  22 | Tuesday     | Q1      |            8
 2022-02-23 |     2 | February  |  23 | Wednesday   | Q1      |            8
 2022-02-24 |     2 | February  |  24 | Thursday    | Q1      |            8
 2022-02-25 |     2 | February  |  25 | Friday      | Q1      |            8
 2022-02-26 |     2 | February  |  26 | Saturday    | Q1      |            8
